Lambda_Factor,Escenario,Capacidad_Bytes,Replica,W_Tiempo_Esp_Promedio,W_Tiempo_Esp_Maximo,W_Tiempo_Esp_P95,Lq_Cola_Promedio,Lq_Cola_Maximo,Throughput,N_Transacciones,N_Bloques_Minados
0.0015,1,500000.0,7,15131.796478192316,28512.806380289643,26537.29851536935,21229.333611342787,60875,1.6357083333333333,117771,88
0.0015,1,500000.0,8,7136.699023745439,59780.06730465081,53291.70195868307,54552.399499582985,101904,2.139013888888889,154009,114
0.0015,1,500000.0,9,8801.58337538098,23765.348717934856,22515.746406624497,14389.03336113428,37951,1.6901111111111111,121688,92
0.0015,1,500000.0,10,12321.313652521738,20817.38065775638,20561.81555211441,3752.7314428690574,34595,0.4804861111111111,34595,26
0.0015,1,1000000.0,1,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,1,1000000.0,2,1550.551716583864,4307.6397363011565,3710.0926667325166,562.4286905754795,13424,0.36983333333333335,26628,10
0.0015,1,1000000.0,3,4469.698265281536,14954.127530500768,12021.205817262875,4089.0533778148456,28324,1.5652916666666667,112701,44
0.0015,1,1000000.0,4,2353.6491745047533,7475.0001035720925,6222.819300801547,2284.881567973311,20573,0.9826388888888888,70750,27
0.0015,1,1000000.0,5,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,1,1000000.0,6,1154.7978146444977,3842.559456565701,3258.22580734485,1587.6755629691409,14604,1.440986111111111,103751,44
0.0015,1,1000000.0,7,5400.1559160857305,15006.61780511422,14374.831478309405,10985.872393661384,54891,2.0442916666666666,147189,57
0.0015,1,1000000.0,8,2635.2982797297973,7942.66120314697,7305.73060285704,3742.1843202668892,25519,1.4348888888888889,103312,40
0.0015,1,1000000.0,9,1394.2303841486876,4261.315673678648,3731.8062568102814,1049.8023352793996,18630,0.7650555555555556,55084,26
0.0015,1,1000000.0,10,1262.8052093059664,5116.746313972304,4385.971847977269,2376.836530442035,22930,1.6561805555555555,119245,49
0.0015,1,2000000.0,1,760.8765228282082,3329.0294516786416,2739.4815930238124,1760.0325271059216,21751,2.4042222222222223,173104,47
0.0015,1,2000000.0,2,221.42385176663183,946.7637212424816,520.3437300703424,66.02418682235196,5513,0.34208333333333335,24630,9
0.0015,1,2000000.0,3,1063.9378619837928,2524.017115111128,2387.2107006487263,503.10091743119267,15513,0.48580555555555555,34978,8
0.0015,1,2000000.0,4,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,1,2000000.0,5,455.5208524570453,1440.6849821918076,966.0582626179785,265.3185988323603,8654,0.6195,44604,10
0.0015,1,2000000.0,6,501.11603662802327,1139.490389694729,1091.4192996810452,143.55212677231026,7288,0.303625,21861,6
0.0015,1,2000000.0,7,328.57412005849596,856.499147915667,445.3277714702581,62.03419516263553,5697,0.19947222222222222,14362,4
0.0015,1,2000000.0,8,468.88758791272045,1084.9092328559054,1054.4716240866676,159.13928273561302,8197,0.3594027777777778,25877,6
